gamecount, episode, average_max_q, score, average_diff
0,114,11.9762650545229,1125,63.6971104112372
1,132,27.5348416621035,-900,70.1811406887842
2,155,17.525420816483,1120,64.0263604940907
3,153,24.3654124191384,1161,90.0727330477409
4,207,22.5459023604646,1170,86.9605666819402
5,237,24.4510944080755,1198,99.6514348380173
6,128,19.6129338853061,-931,59.3531174883246
7,541,53.1846588107442,1405,194.450189377045
8,180,32.2718612803353,1160,90.7907719691595
9,908,80.6829832335401,1588,305.017710523983
10,619,111.571889274147,-539,264.047601020779
11,100,40.8697601699829,1102,52.1624873912334
12,286,83.164700288039,-790,136.448060443768
13,128,52.738973133266,1098,57.3876590197906
